region,date,author,link,title,tags,summary,segment,research_type
UK,2019-11-01,Maria Hock,https://docs.google.com/presentation/d/1owIhYIs5lfmDa66R-wIGOLmZkEjTqLNfDfVNSXrs2M4/edit?usp=sharing,Interviews with people in the UK to understand behaviours revolving cash deposits and first test of improved Cash26 prototype,"cash26, transactions, deposits, withdrawals, merchant","In this research you can find insights on the perceptions of people of the UK regarding Cash26. People in the UK prefer to pay with card over cash. Unlike in DE, even small transactions are paid with card. Banks are top of mind cash deposits. They are perceived as a one-to-one transaction to convert cash into digital balance; hey are instant, safe and free. Some were also using the post office due to its convenient. People’s concerns about cash deposits vary with the amount of money they want to put into the account. From convenience - finding a place nearby, to security - feeling safe when carrying a large amount of cash. Participants in the UK are comfortable with paying their bills at a store. They seemed less nervous about the social interaction than German participants. PayPoint is the top of mind partner for in-store transactions. Participants know the brand and can recall shops in their area where the service is available. People in the UK are used to getting cash-back at a shop or depositing at a post office. However, they are not familiar with scanning a code for these purposes; they were confused about using their phones as PayPoint transactions/deposits are done by swiping the card. Even though in-store deposits are convenient and participants were positive about them, they were put off by the fee as they can get this at their traditional bank for free",Product > Engagement,User Research
US,2019-09-01,Kai Hsing,https://docs.google.com/presentation/d/18OwvA8NgWrMzxUU6Jt9KRQD75P8ub16DVMyyokqt3Ps/edit#slide=id.g5937e63769_0_0,Interviews with US beta customers about how they manage and move money between different accounts,"account funding, stripe, primary account, exploratory","From these interviews, 2 types of account funding behaviors were identified: stashing (using N26 as one of several accounts, each designated for a specific purpose) and switching (looking for a bank account that will replace or improve their current account). Switchers and Stashers move money at different rates, but both typically move money around the time they get paid. We found that discoverability of account numbers may be significant issue, as users are familiar with ACH and bank login account linking. Also, using a debit card as a funding option was unexpected among all participants and UX copy added to confusion. Finally, transfer speed of Stripe was appealing, but low maximums and fees may not make recurring Stripe valuable to users.",Product > US,User Research
EU,2019-11-01,Josh Morales,https://docs.google.com/presentation/d/12AZuzwxvgbgnZsJVrFYABAdyrv4QCVYSg1KdTgexQJY/edit#slide=id.g5937e63769_0_0,Lending Products Survey Analysis,"generative, evaluative, survey, lending, credit, overdraft, installments, concepts",Lending Products Survey Analysis,Product > Bank Products,User Research
EU,2019-06-02,"Fadeelah Alhoraibi, Josh Morales",https://docs.google.com/spreadsheets/d/1ztUIYnLfjU6P5ihkNFS1MZACsJ3B3S-aMcVOF-hc1vo/edit?usp=sharing,Metal & YOU customer ‘exit’ survey post cancellation.,"survey, premium, cancellation, cancel, N26 metal, N26 users, downgrade, subscription, explorative","The goal of this survey is to​ understand why Metal & You customers, that have been active for the most part of their Membership, have shown no intent to continue. Here you can find insights on these reasons for cancellation split by membership tier and market. The top 3 reasons found were ‘not worth price’, ‘cost too high’ and ‘not using benefits’.",Product > Subscriptions,User Research
EU,2020-11-01,Maria Hock,https://docs.google.com/spreadsheets/d/1Lprpj9dYk2I3rB6jUIJi6L1Kgyse9elcEAHwW3bcL9g/edit#gid=1216175736,New standard signup flow,"memberships, product selection, explorative, evaluative, usability, plan, upgrade, benefits list",Testing the flow to select and activate the new standard tier,Product > Subscriptions,User Research
EU,2019-08-01,Tim Brewster,https://docs.google.com/presentation/d/1PQ9Nryb7C8zz89JlICQvP16pu_N6ZId2cE74JwYnBTA/edit?usp=sharing,Observations of signup experience excluding KYC,"evaluative, exploratory, observation, signup, acquisition funnel, conversion, non-users, non-customers, account opening, EU","Observations of people attempting to sign up (until the point of KYC) to identify areas in the process that cause confusion, frustration, or ultimately prevent users from signing up. ",Product > Acquire,User Research
EU,2020-07-01,Jolene Tan-Davidovic,https://docs.google.com/presentation/d/14QbxqFYIUzJRyPxk7M3xZMfxgV9cshgaL0DwxJMMAek/edit?usp=sharing,Observations of signup experience including KYC (EU),"evaluative, exploratory, observation, signup, acquisition funnel, conversion, non-users, non-customers, account opening, KYC, FR, DE",How do users decide to sign up for an N26? What is the entire account opening experience like?,Product > Acquire,User Research
US,2021-01-01,"Jolene Tan-Davidovic, Emilie Guillon",https://docs.google.com/presentation/d/1ICAXTh3SobBivrO0_9-Vf1BmHBmpR0mI5DNHMXGzOMI/edit?usp=sharing,Observations of signup experience including KYC (US),"evaluative, exploratory, observation, signup, acquisition funnel, conversion, non-users, non-customers, account opening, KYC, US",How do users decide to sign up for N26? What is the entire account opening experience like? (Observations of signup experience including KYC),Product > Acquire,User Research
EU,2019-09-01,Tim Brewster,https://docs.google.com/presentation/d/12mnQIvxzVorP1-IrkDcVppMIk-j7Tp6PRQX-TOMxsVQ/edit?usp=sharing,Observations to understand how N26’s current offering is perceived by non-users on the website (as compared to Monzo & Transferwise),"evaluative, usability testing, observation, website, acquisition, conversion, competitors, non-users, non-customers, marketing, EU, UK","Observations to understand how the communication of N26’s current offering  is perceived by non-users on the website, and compare that baseline to a small set of competitors (Monzo & Transferwise).",Product > Acquire,User Research
EU,2020-06-01,Prama Ayalasomayajula,https://docs.google.com/presentation/d/1opffhdjtijPA2NRdwC9LaogVvxyTcYjrPceQub3FigA/edit#slide=id.g6bbe322f9a_0_2,Onboarding Users to N26 - Customer experience from first time log-in to first 35 days,"Onboarding Users, First 35 Days behaviour, generative",We aim to improve the onboarding experience at N26. Good onboarding journey helps in customer retention and sets them up for success by converting - a first time user to a returning user. The team is revamping onboarding flow to increase the number of users doing first funding and the number of users doing first transaction out of the account.,Product > Engagement,User Research
EU,2020-09-01,Prama Ayalasomayajula,https://docs.google.com/presentation/d/1kHl8xv16gEXjVJ_XGcOM_YpM52AXhRj1ToyKhAk5_yQ/edit,Onboarding Walkthrough & Hub - Understanding the usability and comprehension of the concept,"Hub Concept test, Onboarding Walkthrough, evaluative",Main hypotheses were: Users will activate their account faster if they are informed about their progress. Users will learn about key features that N26 can offer if they get a good overview with the hub. Users will come back to Onboarding hub to discover more and try something new.,Product > Engagement,User Research
EU,2020-08-01,Maria Hock,https://docs.google.com/presentation/d/162LPFqeuXdHT5t2OcI2WREYUDjQpJ6Mo16xikqNZ1zs/edit#slide=id.g6bbe322f9a_0_2,One-off insurances: Identifying opportunities to offer insurance products as add-on,"Strategic, exploratory, survey,  Insurance, Simplesurance","Which insurances do our customers have today (or have had in the last year)? How satisfied are they with their insurances and how likely are they to switch providers? If offered by N26, which insurance products would they be interested in?",Product > Bank Products,User Research
EU,2020-04-30,Maria Hock,https://docs.google.com/presentation/d/1Jny-bUxq6ZJZfK4DGIay6ECUfQyqhM1XzTA1tIjhnw8/edit?usp=sharing,Our customers in France,"France, user financial mindsets, banking behaviours, strategic, interviews",Understanding our customers in France: their banking behaviours and how they use N26. Identify what they love and miss.,Product > Markets,User Research
EU,2019-10-01,Maria Hock,https://docs.google.com/presentation/d/1OHwQXlLPpPj-hMpVlPTA7tnGWSvx5OqYIjWEKPlkemc/edit?usp=sharing,Our customers in the UK,"UK, customers, lapsed users, FAU, product vision, discovery, interviews, strategic",Key findings to understand our UK customers and identify opportunity areas. Part of Vision of Perfect Workshop. How do UK customers use N26? Why do power users (10 txns 36 days) love us? Why did lapsed users stop using N26?,Product > Markets,User Research
EU,2020-07-01,Radina Doneva,https://docs.google.com/presentation/d/1FfzTd8IPLArrGuPJ_POUyFZx4CHA7il0v_sZZ1a2fQ0/edit#slide=id.g8f4d4c2180_0_43,Overnight Savings - account creation flow - phase 1,"Savings, Financial products, Spaces, Interest, evaluative",We believe that if we offer a savings product with overnight interest users will move money from their main accounts to the savings account resulting in reduction of the total N26 balance sheet. How do users perceive the value of Overnight Savings? Do people understand clearly what Overnight Savings is? What value should we highlight to get users excited to open a Saving Space? What key information do users need at each stage of the flow?,Product > Engagement,User Research
EU,2020-02-01,Prama Ayalasomayajula,https://docs.google.com/presentation/d/14IB566uWTmmtQEJHsegB23nJl30WE36ey9wIK-vk52c/edit#slide=id.g7d065ce982_0_0,Recurring account funding top up - Do users comprehend and find Stripe easy to use for recurrent use,"Stripe top up, Recurrent Funding, evaluative","80%+ of N26 customers use their account as a secondary account. This means they are not receiving regular funds to maintain their activity. The main goal of this research is to ideate on possible recurring top up journeys to define concepts around. Our concept explores the add money entry point, the ‘save for later’ checkbox, the ‘repeat the transfer’ toggle, the transfer fee information, the 2nd time card selection and the management of a recurring transfer screen.",Product > Engagement,User Research
EU,2020-04-01,Prama Ayalasomayajula,https://docs.google.com/presentation/d/13Lffgl6wCjQcpb-AwOgDYIxj_BrFaSAZzMPQ8r81LxU/edit,Recurring Transfers - How did people use/comprehend different auto-payments methods,"Recurring transfers, Auto payments, Standing Order, Scheduled Payments, evaluative","In this research we looked into the recurring Transfers flow with multiple entry points and recurring & scheduled for money-beams, which resulted in recommendations on helping the user with decision making, such as providing additional information after completion of the tasks, a small change message copy to create clarity, re-evaluating the order of screens on the schedule payment, and entry point to View & Edit a scheduled transfer immediately from Home Feed.",Product > Engagement,User Research
EU,2018-04-01,"Tishia Que, Jessica Bush",https://docs.google.com/presentation/d/1td1e6SDr2jup0gBuyl90g31OX-9yMu9sGt0B-NwLNyY/edit#slide=id.g363f685086_0_115,Review of Users' Perception of Credit / usability testing of the FintechSystems credit flow (DE) vs AUXmoney credit flow (FR),"evaluative, generative, Usability, Survey, Credit, lending, FinTech Systems, FTS, Auxmoney",Review of Users' Perception of Credit / usability testing of the FintechSystems credit flow (DE) vs AUXmoney credit flow (FR),Product > Bank Products,User Research
EU,2019-02-01,Jessica Bush,https://docs.google.com/presentation/d/1tbclkwaHGba2NNunQ7wqiWIh6PGGMFe9yX9uyWwHLsM/edit#slide=id.g46e9138b67_12_0,Review of users' understanding of the Spaces onboarding - usability testing of the invitation and closing of a space,"Onboarding, Shared Spaces, Spaces, N26 User, evaluative","Here you can find insights on how users are using shared in the app, focusing on topics such as discoverability, education, adding members, powers and settings, shared spaces transactions and shared spaces as a limitless feature.",Product > Engagement,User Research
EU,2020-07-01,Mireia Rosset,https://www.figma.com/file/Lm3h3JPKik1mIiHQ51x7rp/Enable-Round-ups?node-id=3704%3A30817,Round ups - usability test - first iteration,"Round-ups, Spaces, Savings, Enable, N26 users, evaluative",This research looks at the round-ups flow and provides research findings and advice on the respective screens.,Product > Engagement,User Research
EU,2019-10-01,Henrik Hagedorn,https://docs.google.com/presentation/d/14wSlTOMHSeisWsMinrHnU0FYC3XdtnPi5f2_knzKPA4/edit?usp=sharing,Security and 2FA perception,"evaluative, survey, security, 2FA, login, trust, EU, assistance",Security and 2FA perception,Product > Assistance,User Research
EU,2019-11-01,Maria Hock,https://docs.google.com/presentation/d/1ory9r0kvwBvOZB3OK3qSQleinl8AlQlMnovc4Pgz6Uk/edit,Shadowing of customers depositing or withdrawing cash using Cash26 in Germany,"Cash, Cash26, Deposit, Withdrawal, evaluative","In this research you can find insights for current Cash26 experience in Germany. Participants in germany prefer card over cash, but as Berlin is a cash heavy city, they all tend to have cash on their wallets. Participants were only considering deposits for large amounts of money (above 1000)Deposits are perceived as planned, stand-alone actions; withdrawals are casual and part of the routine. The biggest barrier to use Cash26 is fear of a social interaction gone wrong - social norms are unclear. After trying Cash26, participants were positively surprised about how easy and frictionless the in-store experience was. Frequent users of Cash26 are positive about their experience. To select a merchant for cash deposits or withdrawals, participants tend to value convenience over trust. Participants had divided opinions when asked about doing Cash26 transactions at late night shops (Spätis). Overall, participants were able to use the Cash26 feature in the app with little friction. We identified quick wins to improve the experience regarding: how customers find merchants, how information about Cahs26 is presented, and clarity regarding fee and T&C.",Product > Engagement,User Research
EU,2017-03-01,Blake Hodgson,https://docs.google.com/presentation/d/1WqwuLGyb8JfSOVERpyzAiR81l5uk6PQm8GNOFkntrvc/edit#slide=id.g1b8138d0b1_0_142,Shared accounts kick-off foundational research,"Shared accounts, exploratory","Here we try to understand how users interpret the concept of shared accounts (1 account with two primary customers), joint accounts (two primary customers have a 3rd shared account), and expenses sharing & sub-account (2 accounts where one primary customer has one way power to give money and has visibility to both accounts). As for shared accounts, the primary use case is couples and families who want 2 cards, this is meant to be used in households with complete transparency. Regarding joint accounts, the main use case is related to households where they want a shared separate account to pay for bills out of a pot. Finally, expenses sharing & sub-accounts can be used when one person is making the money and shares to others (e.g. parents wanting to give their child access to money).",Product > Engagement,User Research
Global,2019-07-01,Tim Brewster,https://docs.google.com/document/d/10gZjoiTSxYsSEArhxNeZgEg8b3eP0HhY0VntPeHHyNc/edit?usp=sharing,Signup experience survey,"evaluative, survey, signup, acquisition funnel, account opening, conversion, non-customers, non-users, US, EU",Survey to evaluate the signup experience with people who have just signed up with N26 and those who have dropped out of the signup flow.,Product > Acquire,User Research
Global,2019-03-01,Jessica Bush,https://docs.google.com/presentation/d/1VTZN5nwJJ5OjP5nVyofAHCP49FxFoB5NyW9FvQ8_fcA/edit?usp=sharing,Sound Settings: Determine users’ preferences in regards to notification messages and sounds,"exploratory, evaluative, survey, sound, notifications, notification preferences, alerts, UI, EU",Sound Settings: Determine users’ preferences in regards to notification messages and sounds,Product,User Research
EU,2020-01-01,Jessica Bush,https://docs.google.com/presentation/d/1D4oEZAY8Ux6FhB6sUNvYwaSlV6OemJ8WpSqO_u940uM/edit#slide=id.g6ea9a14be4_0_939,Space Details - exploration of alternative designs,"Spaces, Entry Points, Discoverability, Spaces Details, Space Principles, exploratory, evaluative","In this research you can find a new perspective towards Space Details. Some of the highlights of this perspective are that space details should be about monitoring and planning the space; The ‘Space balance’, ‘name’, and ‘goals’ should be visible at all times; Less frequently used actions don’t need to be seen at all time; Having all features presented as a menu makes it more legible; Entry points to features should appear in another space - rather being in the same screen.",Product > Engagement,User Research
EU,2020-04-01,Jessica Bush,https://docs.google.com/presentation/d/1M3veWH9Lnlrellej5qutAult9lxDuddILeyrM6YRl30/edit#slide=id.g6bbe322f9a_0_16,"Space details page - usability testing. Quick actions, IBANs for Spaces","Spaces, IBANs, Space details, N26 user, evaluative","The key learnings of this research are: The entry point menu enriches the Space details experience by broadening the scope of possible actions. Tools raise expectations, demonstrating users’ eagerness for more Space related functionalities but only seeing two features disappoints. Different logics are applied to the funding of a space, so multiple funding routes are necessary. Information can be skipped or missed - having various touchpoints to informing users and raise their awareness of new features is essential. In-app onboarding is more efficient when it accompanies users in their journey - and is closer to the relevant feature. Users understand the implications of setting up an IBAN, but were not sure about its banking process. Setting up an IBAN is simple and seamless, matching expectations. Space settings is a perceived as a control tower for Spaces, used to monitor and edit key Space related actions. Space IBANs legitimise Spaces as fully fledged accounts.",Product > Engagement,User Research
EU,2019-07-01,Jessica Bush,https://docs.google.com/presentation/d/1hXLzbREYq6ekh9FhD5ZtsgeFelGaKlG1-y3VOvzxF2o/edit#slide=id.g5d54dfeb7f_0_0,Spaces & Feed: usability testing of new feed presenting Spaces to space transaction and in-feed spaces balances.,"evaluative, usability, Spaces, Feed, Space transactions, Transactions, Balance, Mental accounting, Spaces Features",Spaces & Feed: usability testing of new feed presenting Spaces to space transaction and in-feed spaces balances.,Product > Engagement,User Research
EU,2020-12-01,Radina Doneva,https://docs.google.com/presentation/d/1L-YwMo5ygf0mKVIjB0fnjz7DOP-QYN_ah5GHEridhrs/edit?usp=sharing,Spaces Evolution into Financial Home– Research Summary,"generative, interviews, prototype test, user desirability, information architecture, IA, V5, financial home, EU",Validating user desirability and information architecture direction for V5 concepts for evolving Spaces tab into Financial home,Product > Engagement,User Research
EU,2018-06-01,Jessica Bush,https://docs.google.com/presentation/d/1b9I7h0hQ_uCx1IqAsBEToZCBOBtc5o1fAvBN0VanDN0/edit#slide=id.g3b6f95f54d_0_1,Spaces: Evaluation of Users’ understanding of the Spaces' onboarding in their native non-EN languages,"Education, Onboarding, spaces, Spaces MVP, N26 User, evaluative",The focus of this research is to assess users’ understanding of Spaces in the 5 core languages. One of our main insights is that that are using the app in one of the Romance language understand and recognise the use of “Spaces” in the main title as the brand name of the new feature but do not want the word used in descriptive text. Users assimilated the terminology sub-account with traditional banks. They understand the concept very easily but find it rather boring. They would prefer the use of ‘Spaces’ in their respective languages.,Product > Engagement,User Research
EU,2019-06-01,Jessica Bush,https://docs.google.com/presentation/d/1JBmla9qDGLRdUP0QqbdyUjx05Q1SpCkWuElbE3JHQgM/edit#slide=id.g54ffb9b0d7_0_75,Spaces: Review the users' need for rules and understand their financial management with the rules,"Spaces, rules, finance management, evaluative",In this research you can find user research answers to the following questions: Does the need for rules exist? What stops people from using rules? How can we provide sense of control? Which are the type of rules that people need most? How can we make rules successful? You can also find insights on the usability and discoverability of rules in our app.,Product > Engagement,User Research
EU,2019-10-01,Jessica Bush,https://docs.google.com/presentation/d/1fWOubgFKCh7xhJ1CSbWkNcRIFcrCRmAddXHqs_hI-uQ/edit#slide=id.g6228bdaa5d_0_0,Spaces: second round of usability testing to review a new prototype of the Spaces creation flow.,"Spaces, Space Creation, Discoverability, Spaces Onboarding, Space Types, evaluative","In this round we try to understand whether if users select the purpose of space in the creation flow, they will use the space more actively. Our main recommendations are that ​​more precision needs to be given to features, for example, specify that only N26 users can be invited to share a space. As for context, we could provide adapted and specific screens for shared spaces. Also, by making the flow longer, it becomes necessary to create a pagination or implement a progress bar to manage users’ anticipations. As for placement, we should determine what should belong into the creation flow, space overview & settings.",Product > Engagement,User Research
EU,2019-09-01,Jessica Bush,https://docs.google.com/presentation/d/1epXgF0pUSGsyU2vUjE4Mj5pZuKqorFG1dmBF_WnPWoo/edit?usp=sharing,Spaces: usability testing of a new prototype for the space creation flow and review of entry points for Spaces features,"Spaces, Entry Points, Space Creation, Discoverability, Spaces Onboarding, Space Types, evaluative",Here we present the output of having users explore the personalised space creation flow. Some of our learnings are: participants can easily grasp what spaces is and its value proposition; presenting space types give respondents more clarity into what they can do with Spaces; respondents activate all options presented to them during the space creation; respondents are unclear about what happens once goals are active and worry about having issues with rules.,Product > Engagement,User Research
EU,2018-05-01,Jessica Bush,https://docs.google.com/presentation/d/14L4ilnqSnhg-eV6BRtV2QBZzqlAzHBrj6Uo4p2Nc4dg/edit#slide=id.g3b6f95f54d_0_1,Spaces: Usability testing of two options for the  onboarding to Spaces,"Education, Onboarding, spaces, Spaces MVP, N26 User, evaluative",The main objective of this research is to test the usability and purposefulness of the Spaces Onboarding. The key takeaways are to reposition Spaces as savings goals / targets to help users better understand it’s function and move it away from ‘budgets / advanced categories’; add supporting copy for Headlines; introduce a ‘Replay Intro’ option; and provide a ‘Learn more’ throughout the onboarding flow.,Product > Engagement,User Research
EU,2020-09-01,Somayeh Ranjbar,https://docs.google.com/presentation/d/1Gn6HMRsYQ-zchQI3XfZnPFrOoDtaJzwLmXjjsdNeXqg/edit#slide=id.g75d46a1cec_0_242,Stand Alone Insurances: Purchase Flow for Smartphone Insurances,"Interviews, policy, pricing, insurance, coverage, device ID, membership, purchase, evaluative",Stand Alone Insurances: Purchase Flow for Smartphone Insurances. Evaluation of the insurance purchase flow (comprehension and journey)and testing the assumptions. Deeper understanding of customers’ mental model in insurance purchase decision making,Product > Subscriptions,User Research
EU,2020-12-01,"Prama Ayala, Maria Hock, Jolene Tan-Davidovic, Emilie Guillon",https://number26-jira.atlassian.net/wiki/spaces/UIR/pages/2085618258/State+of+User+Research%3A+The+Early+Customer+Journey,State of User Research: Early customer journey,"state of user research, customer journey, account opening, signup, KYC, product selection, memberships, onboarding","In this report, we looked at user research reports, data reports and dashboards, as well as market research data to build a comprehensive picture of the early customer journey. What do we mean by Early Customer Journey? The early customer journey is about persuasion. We are trying to persuade people to consider N26 and that an N26 account is right for them. We are also trying to persuade them to intentionally choose a premium account, and to actively use the account that they have chosen. We are interested in how users decide to choose to open an N26 bank account, which account they choose, their account opening experience, as well as how they become onboarded into the bank. This journey starts when users begin to consider N26 for their new bank account. It ends 35 days after the completion of KYC which is also when the onboarding process is expected to be largely over.",Product,User Research
EU,2019-05-01,"Jessica Bush, Xiangyi",https://docs.google.com/presentation/d/1zeP6EUWMUv041S6n0q89oeuHjQQQk_IcF83MDIS84AA/edit#slide=id.g5474d0c8d1_1_0,"Statistics, search, filter, tag","evaluative, qualitative, in person, interviews, card sorting, statistics, search, filter, tag, budgeting, N26 Users",Understand the users' personal financial management behaviour in using these functions,Product > Engagement,User Research
EU,2020-09-01,Mireia Rosset,https://docs.google.com/presentation/d/1JuLRY18QifWKl0WIneCYcs3BtgazDgmsH5hs1SLO2to/edit#slide=id.g96089a0a55_0_0,Subscription Manager - explorative interviews and co-creation with users to evaluate initial concepts.,"Subscription manager, Transfers, Sacrificial concepts, evaluative, generative",N26 aims to launch a subscription manager tool in our key markets. This is a strategic bet around how giving customers a 360 degree view of their fixed costs insights around their spending and relevant offers can increase the share of our customers digital payments and bring in additional revenue streams for the business.,Product > Engagement,User Research
US,2019-10-01,Kai Hsing,https://docs.google.com/presentation/d/1gBdZGvStaRLNl_-eixQJZz69Rj0OquQHFMOUT9m0qGI/edit?usp=sharing,Summary of key user research insights from initial post-US launch,"summary, compilation, cross-functional shareout, survey, interviews, usability","Here you can find some general insights about US users on topics such as understanding debit card behaviors, beta user survey results, and new features + premium.",Product > US,User Research
US,2020-01-01,"Kai Hsing, Dylan Morris",https://docs.google.com/presentation/d/1iJVahse5Agda8y0cd3H3SunlifN4mLw2xuSrBcBWnL4/edit?usp=sharing,Summary of key user research insights from initial post-US launch - Lunch and learn version,"customer lifetime value, CLV, user profiles, US segments, data analysis, interviews, surveys","With this research we try to understand the behaviors and attitudes of our current highest value customers, as well as inform decision-making and strategy development for product and marketing. In here we define the building blocks for high-value customer (HVC) profiles (demographics, banking + spending, financial goals + money management, proto-profiles).",Product > US,User Research
EU,2018-12-01,Jessica Bush,https://docs.google.com/presentation/d/12oo7ViclnxAILRkYdhSA6yUxzpcayVttTbrgVFeOj9M/edit#slide=id.g4ab55cd223_0_797,Survey reviewing users' need for local IBAN,"Local IBAN, evaluative",In this research we aim to understand how users are using spaces and how tey would use spaces IBANs. Here you can find details on how what methods could be used to pay from spaces and what effect this would have on Space activity.,Product > Engagement,User Research
EU,2019-01-01,Jessica Bush,https://docs.google.com/presentation/d/1w9w9NtmuTEJW5S1FQwljmY_Q7t-AjUYz3x77ywZrqYs/edit#slide=id.g4c7e98bcc0_0_0,Testing of the usability of Spaces IBAN early prototypes - R1 & R2,"IBAN, Spaces, Payments, N26 User, evaluative","Here you can find the results of 2 researches on Spaces IBAN. Users see value in Spaces IBAN and would have use for it. However, they would not necessarily activate an IBAN for each of their spaces. Most users would create a space or activate IBANs for an existing space to pay recurring bills and subscriptions, which would help them budget.  The onboarding was not clear enough to them. Additional IBANs were perceived as something serious, not to be played around with. Users found that activating an IBAN was somewhat too easy or too fast. Having controls of bills paid from Spaces was a celebrated feature, but most users found the possibility of cancelling a direct debits practical, but would break contractual ties and ultimately cause more problems than it solves. Some users saw having Space IBAN as a way to set up ‘rules’, by setting up standing orders from the main account to their Space to automatically replenish it. One user also considered it as way of sending payments to a partner directly into a space, and in a way, creating a shared space. Users that are freelancer or business owners also saw Spaces IBAN as a way to separate business from personal expenses. A welcomed feature.",Product > Engagement,User Research
US,2020-09-01,"Jolene Tan-Davidovic, Tishia Que",https://docs.google.com/presentation/d/1GfIF2dJ_POu7lTyimum5eTZEs0DatWw0YBEuLNMzl1I/edit?usp=sharing,Testing US KYC Short Flow,"evaluative, usability testing, remote, unmoderated, marketing, website, non-users, non-customers, ES",Will the new KYC short flow make sense for US users?,Product > Acquire,User Research
US,2019-07-01,Kai Hsing,https://docs.google.com/presentation/d/1-PYdrZ1LhHbGC0nRlMlybWo33RVjbKR5W59IlJ0FvIk/edit?usp=sharing,Testing US signup flow with friends and family users (early beta launch),"evaluative, usability testing, signup, beta, onboarding, CRM, US, friends and family",Testing US signup flow with friends and family users (early beta launch),Product > Acquire,User Research
EU,2018-10-01,Jessica Bush,https://docs.google.com/presentation/d/1AuxCHye8fRHJI3xpIJ66QDINw-W3INhRLNdhYPGcWjI/edit#slide=id.g4af95e3ed6_0_0,The survey indicated the circumstances in which users were likely to engage in money-sharing situations.,"Financial interactions, Sharing, Shared Spaces, Spaces, N26 User, exploratory","A survey was run to assess how our current users may be interacting with others on a financial level. We found that The users’ living situation was a better predictor of usage of shared / joint accounts rather than their age. Respondents living with partners tend to have shared or joint accounts, while younger respondents were more likely to use dedicated apps to facilitate financial interactions. The most common use cases for sharing money occurs in situations during which users travel with others, sharing bills or make informal loans. More than half of respondents were eager to be able to share with non-N26, and their preferred way of payments  whilst sharing money with others, were transfers and cash.",Product > Engagement,User Research
EU,2019-01-01,"Jessica Bush, Xiangyi",https://docs.google.com/presentation/d/1XN8lBZ5Kao914eikC4UfQ14UrjVvrUSO2pUcFVQlVis/edit#slide=id.g33c02fc8cb_0_304,Timeline: Understand the users' affinity and preferences in the app around general balance and transactions list.,"evaluative, qualitative, in-depth interviews, prototypes testing, tags, shortcuts, customizable balance, N26 Users",Understand the users' affinity and preferences in the app around general balance and transactions list.,Product > Engagement,User Research
EU,2019-10-01,Radina Doneva,https://docs.google.com/presentation/d/1IDJ8shFJIOU63223wt81aA7DV2JiqnJrr-_vp-zevSk/edit#slide=id.g54ffb9b0d7_0_75,Transaction List & Details,"evaluative, card sorting, prototype testing, qualitative, in person, interviews, transactions, transaction information, transaction list, transaction details","What is the most important and relevant transaction information? When, how and where it should be displayed?",Product > Engagement,User Research
EU,2020-04-01,Radina Doneva,https://docs.google.com/presentation/d/1ePPFlL6y4_E61QmlljqDIcQyzfAJfq1dRCkfIt11D-Y/edit#slide=id.g4b36e68a8c_0_20,Tx Details User Testing - round 2,"Transaction details, tx information, evaluative","In this round we explore concepts around N26 & banking experience, compare & contrast 3 concept ideas, and co-create a transaction details page.",Product > Engagement,User Research
UK,2018-06-01,Jessica Bush,https://docs.google.com/presentation/d/1X8cK9JPEGrj0xgOUq_tr09DMVHomKFJgkTjnFkEy4-E/edit?usp=sharing,UK Pre-launch interviews,"UK, product vision, discovery, customer expectation, non-users, interviews, strategic, markets, user segments, market fit",Pre-launch interviews to understand UK customer expectations and our current product-market fit. User mindsets. Differentiating factors. Travel and multi-currency perceptions. Brand affiliations.,Product > Markets,User Research
UK,2018-09-01,Jessica Bush,https://docs.google.com/presentation/d/1o03hKQMPNBNI-QROWmcT5O7qeVndnwrd-8w7JWLQ-cA/edit?usp=sharing,UK pre-launch survey,"UK, product vision, discovery, customer expectation, non-users, survey, strategic, markets, user segments, market fit",Pre-launch survey to understand UK customer expectations and market fit. Interest in N26. Multi-currency usage. Overview of account ownership. Expectations towards banking offers,Product > Markets,User Research
UK,2018-11-01,"Xiangyi, Jessica Bush",https://docs.google.com/presentation/d/1L2vpCzNzw6O98tzrqNqaUwVXslVy4UUd0iDigDRHg5I/edit,"Understand better our current membership users, our competitors' membership users, and what have attracted them. ","N26 Black, N26 Metal, Premium, N26 Users, N26 Non Users, quantitative surveys, qualitative remote in depth-interview, memberships, segments","This research was conducted in November 2018 to help team understand better our current membership users, our competitors' membership users, and what have attracted them. Thus inform the team on how we can create membership tiers that provide distinct value to our existing and new customers when they need it. Through behavior-attitude mapping, we have identified 7 different premium mindsets, clarifying when it comes to premium and membership banking products, what are people's motivation and decision making process.",Product > Subscriptions,User Research
UK,2018-10-01,"Xiangyi, Jessica Bush",https://docs.google.com/presentation/d/1L2aY2yNsEX2_iJoEAIefKQGdxCf7-OHSe5tWJgRK0jo/edit,Understand the vision and need of premium users of UK banks: What premium means and brings to User?,"Premium, memberships, qualitative, remote interviews","In order to answer this question, we conducted qualitative remote interviews with premium users of UK banks. We found that the top 3 factors for signing up to premium are: Better interest rates or savings plans; Travel without fees + travel insurance; Overdraft / credit.",Product > Markets,User Research
